Address,Price $,Type,Size m2,Bedrooms,Bathrooms
"Aintoura, El Metn
                    , Mount Lebanon",319000,Land,306,N/A,N/A
"Fidar, Jbeil
                    , Mount Lebanon",1200000,Commercial Building,000,N/A,N/A
"Baabda, Baabda
                    , Mount Lebanon",465000,Apartment,195,3,4
"Jbeil, Jbeil
                    , Mount Lebanon",150000,Apartment,106,2,2
"Achkout, Kesrouane
                    , Mount Lebanon",600000,Land,200,N/A,N/A
"Achrafieh, Beirut
                    , Beirut",950000,Apartment,350,4,4
"Mazraat Yachouh, El Metn
                    , Mount Lebanon",2800000,Commercial Building,714,N/A,N/A
"Ras Beirut, Beirut
                    , Beirut",2200000,Apartment,550,4,4
"Ras Beirut, Beirut
                    , Beirut",1300000,Apartment,550,4,4
"Aamchit, Jbeil
                    , Mount Lebanon",165000,Apartment,150,3,3
"Mechmech, Jbeil
                    , Mount Lebanon",250000,House/Villa,300,4,3
"Klayaat, Kesrouane
                    , Mount Lebanon",230000,Land,908,N/A,N/A
"Klayaat, Kesrouane
                    , Mount Lebanon",320000,Land,420,N/A,N/A
"Badaro, Beirut
                    , Beirut",1000000,Apartment,400,3,4
"Achrafieh, Beirut
                    , Beirut",275000,Apartment,130,2,2
"Badaro, Beirut
                    , Beirut",450000,Office,200,4,N/A
"New Mar Takla, Baabda
                    , Mount Lebanon",495000,Apartment,265,3,4
"Mansourieh, El Metn
                    , Mount Lebanon",240000,Apartment,200,3,5
"Achrafieh, Beirut
                    , Beirut",900000,Office,300,4,N/A
"Dekweneh, El Metn
                    , Mount Lebanon",205000,Apartment,160,3,3
"Mansourieh, El Metn
                    , Mount Lebanon",107000,Apartment,100,2,2
"Down Town, Beirut
                    , Beirut",700000,Shop,120,1,N/A
"Broumana, El Metn
                    , Mount Lebanon",850000,Land,850,N/A,N/A
"Mansourieh, El Metn
                    , Mount Lebanon",243000,Apartment,170,3,4
"New Rawda, El Metn
                    , Mount Lebanon",96000,Apartment,100,2,2
"Jbeil, Jbeil
                    , Mount Lebanon",450000,Land,600,N/A,N/A
"Batroun, Batroun
                    , North",250000,Apartment,110,2,2
"Hazmieh, Baabda
                    , Mount Lebanon",520000,Apartment,280,3,5
"Jbeil, Jbeil
                    , Mount Lebanon",495000,Apartment,310,4,5
"Zaarour, El Metn
                    , Mount Lebanon",325000,Chalet,140,2,2
"Ain Al Remmane, Baabda
                    , Mount Lebanon",130000,Apartment,150,3,2
"Zikrit, El Metn
                    , Mount Lebanon",180000,Apartment,160,3,2
"Ras Beirut, Beirut
                    , Beirut",700000,Apartment,200,3,3
"Mar Mikhael, Beirut
                    , Beirut",375000,Apartment,135,3,2
"Jbeil, Jbeil
                    , Mount Lebanon",130000,Apartment,110,2,2
"Blat, Jbeil
                    , Mount Lebanon",175000,Apartment,200,3,4
"Ras Beirut, Beirut
                    , Beirut",2200000,Apartment,660,5,5
"Haret Sakher, Kesrouane
                    , Mount Lebanon",188000,Apartment,205,3,2
"Ballouneh, Kesrouane
                    , Mount Lebanon",220000,Apartment,300,4,4
"Achrafieh, Beirut
                    , Beirut",550000,Apartment,140,2,3
"Ain Al Remmane, Baabda
                    , Mount Lebanon",150000,Apartment,230,3,2
"Mtayleb, El Metn
                    , Mount Lebanon",475000,Apartment,300,5,5
"Ras Beirut, Beirut
                    , Beirut",700000,Apartment,250,3,3
"Rabieh, El Metn
                    , Mount Lebanon",850000,Apartment,450,4,4
"Ras Beirut, Beirut
                    , Beirut",2500000,Apartment,475,4,5
"Baabda, Baabda
                    , Mount Lebanon",650000,Warehouse,900,2,N/A
"Badaro, Beirut
                    , Beirut",850000,Apartment,235,3,3
"Adma, Kesrouane
                    , Mount Lebanon",241000,Apartment,160,3,3
"Ain El Rihani, Kesrouane
                    , Mount Lebanon",600000,Land,008,N/A,N/A
"Ouyoun Al Simen, Kesrouane
                    , Mount Lebanon",350000,Chalet,140,2,3
"Mar Moussa, El Metn
                    , Mount Lebanon",306000,Apartment,290,3,4
"Mar Moussa, El Metn
                    , Mount Lebanon",160000,Apartment,140,2,2
"Fatqa, Kesrouane
                    , Mount Lebanon",180000,Apartment,150,2,2
"Beit Meri, El Metn
                    , Mount Lebanon",98000,Apartment,45,1,1
"Mansourieh, El Metn
                    , Mount Lebanon",5000000,Land,000,N/A,N/A
"Sin El Fil, El Metn
                    , Mount Lebanon",220000,Office,200,2,N/A
"Baskinta, El Metn
                    , Mount Lebanon",200000,Land,115,N/A,N/A
"New Mar Takla, Baabda
                    , Mount Lebanon",360000,Apartment,230,3,4
"Baabdat, El Metn
                    , Mount Lebanon",250000,Apartment,140,3,3
"Zabougha, El Metn
                    , Mount Lebanon",200000,Land,584,N/A,N/A
"Haret Sakher, Kesrouane
                    , Mount Lebanon",150000,Apartment,150,3,2
"Haret Sakher, Kesrouane
                    , Mount Lebanon",360000,Apartment,350,4,4
"Mansourieh, El Metn
                    , Mount Lebanon",265000,Apartment,175,3,3
"Baabda, Baabda
                    , Mount Lebanon",425000,Apartment,350,3,4
"Achrafieh, Beirut
                    , Beirut",1000000,Apartment,250,3,3
"Daroun Harissa, Kesrouane
                    , Mount Lebanon",840000,Land,200,N/A,N/A
"Sahel Alma, Kesrouane
                    , Mount Lebanon",300000,Apartment,205,3,2
"Horsh Tabet, El Metn
                    , Mount Lebanon",5000000,Residential Building,910,N/A,N/A
"Horsh Tabet, El Metn
                    , Mount Lebanon",495000,Apartment,246,3,3
"Achrafieh, Beirut
                    , Beirut",470000,Apartment,160,3,2
"Tilal Ain Saade, El Metn
                    , Mount Lebanon",200000,Apartment,150,3,3
"Mansourieh, El Metn
                    , Mount Lebanon",107000,Apartment,120,2,2
"Achrafieh, Beirut
                    , Beirut",500000,Apartment,130,2,2
"Aoukar, El Metn
                    , Mount Lebanon",375000,Apartment,260,3,5
"Batroun, Batroun
                    , North",350000,House/Villa,255,4,4
"Achrafieh, Beirut
                    , Beirut",575000,Apartment,174,3,3
"Aoukar, El Metn
                    , Mount Lebanon",170000,Apartment,110,2,2
"Achrafieh, Beirut
                    , Beirut",2520000,Land,336,N/A,N/A
"Achrafieh, Beirut
                    , Beirut",1000000,Apartment,350,4,3
"Bouchrieh, El Metn
                    , Mount Lebanon",155000,Apartment,160,3,1
"Mansourieh, El Metn
                    , Mount Lebanon",120000,Apartment,110,2,2
"Bsalim, El Metn
                    , Mount Lebanon",820000,Land,914,N/A,N/A
"Bsalim, El Metn
                    , Mount Lebanon",1140000,Land,200,N/A,N/A
"Jbeil, Jbeil
                    , Mount Lebanon",150000,Apartment,120,2,2
"Bsalim, El Metn
                    , Mount Lebanon",350000,Apartment,230,3,4
"Gemayzeh, Beirut
                    , Beirut",380000,Office,125,1,N/A
"Ras Beirut, Beirut
                    , Beirut",750000,Apartment,215,3,3
"Jdeideh, El Metn
                    , Mount Lebanon",200000,Apartment,130,2,2
"Batroun, Batroun
                    , North",235000,Land,947,N/A,N/A
"Ras Beirut, Beirut
                    , Beirut",850000,Apartment,231,3,3
"Achrafieh, Beirut
                    , Beirut",2600000,Apartment,500,4,5
"Achrafieh, Beirut
                    , Beirut",465000,Apartment,300,3,3
"Qornet El Hamra, El Metn
                    , Mount Lebanon",3000000,House/Villa,200,6,8
"Kfarzebian, Kesrouane
                    , Mount Lebanon",600000,Land,694,N/A,N/A
"Achrafieh, Beirut
                    , Beirut",980000,Apartment,145,2,2
"Jbeil, Jbeil
                    , Mount Lebanon",90000,Apartment,230,3,2
"Jbeil, Jbeil
                    , Mount Lebanon",75000,Apartment,110,2,2
"Faytroun, Kesrouane
                    , Mount Lebanon",110000,Chalet,75,2,2
"Blat, Jbeil
                    , Mount Lebanon",90000,Apartment,110,2,2
"Achrafieh, Beirut
                    , Beirut",265000,Apartment,200,3,3
"Beit el Chaar, El Metn
                    , Mount Lebanon",115000,Apartment,125,2,2
"Beit el Chaar, El Metn
                    , Mount Lebanon",140000,Apartment,150,3,3
"Achrafieh, Beirut
                    , Beirut",530000,Apartment,147,1,2
"Horsh Tabet, El Metn
                    , Mount Lebanon",260000,Shop,99,1,N/A
"Jbeil, Jbeil
                    , Mount Lebanon",900000,Apartment,110,1,2
"Fatqa, Kesrouane
                    , Mount Lebanon",175000,Apartment,150,2,2
"Laqlouq, Jbeil
                    , Mount Lebanon",354000,Land,951,N/A,N/A
"Laqlouq, Jbeil
                    , Mount Lebanon",101000,Land,012,N/A,N/A
"Hboub, Jbeil
                    , Mount Lebanon",450000,Land,400,N/A,N/A
"Batroun, Batroun
                    , North",400000,Apartment,175,2,3
"Adma, Kesrouane
                    , Mount Lebanon",520000,Apartment,280,3,5
"Jbeil, Jbeil
                    , Mount Lebanon",110000,Office,120,1,N/A
"Faytroun, Kesrouane
                    , Mount Lebanon",145000,Apartment,220,3,3
"Haret Sakher, Kesrouane
                    , Mount Lebanon",215000,Apartment,240,3,3
"Sahel Alma, Kesrouane
                    , Mount Lebanon",180000,Apartment,200,3,3
"Achrafieh, Beirut
                    , Beirut",1550000,Apartment,500,4,3
"Saifi Village, Beirut
                    , Beirut",335000,Shop,130,2,N/A
"Dekweneh, El Metn
                    , Mount Lebanon",230000,Apartment,204,3,3
"Dekweneh, El Metn
                    , Mount Lebanon",220000,Apartment,186,3,3
"Dekweneh, El Metn
                    , Mount Lebanon",190000,Apartment,186,3,3
"Aamchit, Jbeil
                    , Mount Lebanon",275000,Apartment,250,3,3
"Jdeideh, El Metn
                    , Mount Lebanon",160000,Office,120,2,N/A
"Fidar, Jbeil
                    , Mount Lebanon",430000,Apartment,300,3,5
"Laqlouq, Jbeil
                    , Mount Lebanon",80000,Land,090,N/A,N/A
"Ain Najem, El Metn
                    , Mount Lebanon",275000,Apartment,200,3,4
"Khenchara, El Metn
                    , Mount Lebanon",1000000,House/Villa,000,3,5
"Fanar, El Metn
                    , Mount Lebanon",250000,Apartment,175,3,3
"Haret Sakher, Kesrouane
                    , Mount Lebanon",90000,Apartment,160,3,2
"Haret Sakher, Kesrouane
                    , Mount Lebanon",245000,Apartment,145,3,3
"Haret Sakher, Kesrouane
                    , Mount Lebanon",265000,Apartment,165,3,3
"Ain Al Remmane, Baabda
                    , Mount Lebanon",270000,Apartment,320,3,3
"Daraya, Kesrouane
                    , Mount Lebanon",650000,House/Villa,400,5,4
"Mar Chaaya, El Metn
                    , Mount Lebanon",460000,Apartment,250,3,3
"Klayaat, Kesrouane
                    , Mount Lebanon",250000,Land,900,N/A,N/A
"Kfarzebian, Kesrouane
                    , Mount Lebanon",600000,Land,716,N/A,N/A
"Ehmej, Jbeil
                    , Mount Lebanon",158000,Land,885,N/A,N/A
"Zalka, El Metn
                    , Mount Lebanon",220000,Apartment,120,2,2
"Blat, Jbeil
                    , Mount Lebanon",515000,Land,720,N/A,N/A
"Mansourieh, El Metn
                    , Mount Lebanon",200000,Apartment,175,3,4
"Achrafieh, Beirut
                    , Beirut",595000,Apartment,80,1,2
"Kaslik, Kesrouane
                    , Mount Lebanon",235000,Chalet,63,2,2
"Gherfine, Jbeil
                    , Mount Lebanon",620000,Land,546,N/A,N/A
"Jbeil, Jbeil
                    , Mount Lebanon",360000,Apartment,185,3,3
"Wata El Joz, Kesrouane
                    , Mount Lebanon",335000,Land,596,N/A,N/A
"Barbara, Jbeil
                    , Mount Lebanon",90000,Apartment,100,2,2
"Jal el Dib, El Metn
                    , Mount Lebanon",1738000,Land,790,N/A,N/A
"Jdeideh, El Metn
                    , Mount Lebanon",200000,Apartment,150,3,2
"Gherfine, Jbeil
                    , Mount Lebanon",525000,Land,500,N/A,N/A
"Jbeil, Jbeil
                    , Mount Lebanon",120000,Shop,100,2,N/A
"Qartaboun, Jbeil
                    , Mount Lebanon",200000,Land,927,N/A,N/A
"Monteverde, El Metn
                    , Mount Lebanon",400000,Apartment,220,3,4
"Ras Beirut, Beirut
                    , Beirut",1100000,Apartment,320,4,4
"Ras Beirut, Beirut
                    , Beirut",700000,Apartment,300,3,3
"kfarhbeib, Kesrouane
                    , Mount Lebanon",300000,Apartment,171,3,3
"Ras Beirut, Beirut
                    , Beirut",4300000,Apartment,500,4,6
"kfarhbeib, Kesrouane
                    , Mount Lebanon",380000,Apartment,360,2,3
"Yahchouch, Kesrouane
                    , Mount Lebanon",550000,House/Villa,350,3,3
"Aoukar, El Metn
                    , Mount Lebanon",420000,House/Villa,450,3,4
"Kfour, Kesrouane
                    , Mount Lebanon",455000,Apartment,350,3,3
"Achrafieh, Beirut
                    , Beirut",200000,Apartment,135,2,2
"Mansourieh, El Metn
                    , Mount Lebanon",245000,Apartment,160,3,4
"Zalka, El Metn
                    , Mount Lebanon",300000,Office,65,1,N/A
"Broumana, El Metn
                    , Mount Lebanon",175000,Apartment,110,1,1
"Broumana, El Metn
                    , Mount Lebanon",230000,Apartment,150,3,3
"Broumana, El Metn
                    , Mount Lebanon",200000,Apartment,120,2,2
"Yarzeh, Baabda
                    , Mount Lebanon",2750000,Land,296,N/A,N/A
"Horsh Tabet, El Metn
                    , Mount Lebanon",335000,Apartment,180,3,3
"Jounieh, Kesrouane
                    , Mount Lebanon",92000,Apartment,125,3,2
"Aamchit, Jbeil
                    , Mount Lebanon",85000,Office,60,1,N/A
"Kfour, Kesrouane
                    , Mount Lebanon",105000,Land,630,N/A,N/A
"Klayaat, Kesrouane
                    , Mount Lebanon",425000,Apartment,360,4,4
"Mtayleb, El Metn
                    , Mount Lebanon",290000,Apartment,215,3,2
"Zouk Mikael, Kesrouane
                    , Mount Lebanon",500000,Apartment,360,3,3
"Badaro, Beirut
                    , Beirut",450000,Apartment,240,3,3
"Achrafieh, Beirut
                    , Beirut",850000,Apartment,330,3,4
"Sioufi, Beirut
                    , Beirut",360000,Apartment,221,3,3
"Bikfaya, El Metn
                    , Mount Lebanon",95000,Apartment,75,1,2
"Achrafieh, Beirut
                    , Beirut",850000,Apartment,330,3,4
"Fanar, El Metn
                    , Mount Lebanon",350000,Apartment,210,3,3
"Mar Mikhael, Beirut
                    , Beirut",315000,Apartment,116,2,2
"Batroun, Batroun
                    , North",310000,House/Villa,240,1,1
"Achrafieh, Beirut
                    , Beirut",1545000,Land,441,N/A,N/A
"Adma, Kesrouane
                    , Mount Lebanon",5550000,Land,414,N/A,N/A
"Rabweh, El Metn
                    , Mount Lebanon",155000,Apartment,185,3,4
"Batroun, Batroun
                    , North",180000,House/Villa,140,2,3
"Achrafieh, Beirut
                    , Beirut",450000,Apartment,80,1,2
"Achrafieh, Beirut
                    , Beirut",750000,Apartment,100,1,2
"Aamchit, Jbeil
                    , Mount Lebanon",800000,Land,985,N/A,N/A
"Ghosta, Kesrouane
                    , Mount Lebanon",220000,Apartment,180,3,3
"Sarba, Kesrouane
                    , Mount Lebanon",70000,Apartment,100,2,1
"Bouar, Kesrouane
                    , Mount Lebanon",2000000,Land,000,N/A,N/A
"Louaize, Baabda
                    , Mount Lebanon",850000,Apartment,400,3,4
"Bouchrieh, El Metn
                    , Mount Lebanon",120000,Apartment,100,2,2
"Ras Beirut, Beirut
                    , Beirut",228000,Office,60,N/A,N/A
"Qartaboun, Jbeil
                    , Mount Lebanon",1250000,Land,869,N/A,N/A
"Badaro, Beirut
                    , Beirut",500000,Apartment,250,4,3
"Ras Beirut, Beirut
                    , Beirut",1050000,Apartment,363,4,4
"Achrafieh, Beirut
                    , Beirut",350000,Apartment,250,4,3
"Kfour, Kesrouane
                    , Mount Lebanon",330000,Land,825,N/A,N/A
"Achrafieh, Beirut
                    , Beirut",445000,Apartment,160,2,3
"Batroun, Batroun
                    , North",120000,Apartment,165,2,3
"Achrafieh, Beirut
                    , Beirut",250000,Office,180,3,2
"Achrafieh, Beirut
                    , Beirut",310000,Shop,310,2,N/A
"Achrafieh, Beirut
                    , Beirut",950000,Apartment,256,3,4
"Achrafieh, Beirut
                    , Beirut",400000,Apartment,120,3,2
"Mar Mikhael, Beirut
                    , Beirut",600000,Apartment,280,2,3
"Hazmieh, Baabda
                    , Mount Lebanon",250000,Apartment,200,3,4
"Beit Chabeb, El Metn
                    , Mount Lebanon",235000,Apartment,230,3,3
"Ajaltoun, Kesrouane
                    , Mount Lebanon",350000,Land,000,N/A,N/A
"Sin El Fil, El Metn
                    , Mount Lebanon",700000,Warehouse,175,N/A,N/A
"Sin El Fil, El Metn
                    , Mount Lebanon",900000,Warehouse,641,N/A,N/A
"Sin El Fil, El Metn
                    , Mount Lebanon",100000,Warehouse,83,1,N/A
"Achrafieh, Beirut
                    , Beirut",1050000,Apartment,325,3,3
"Achrafieh, Beirut
                    , Beirut",1100000,Apartment,312,3,4
"Shayle, Kesrouane
                    , Mount Lebanon",1500000,Land,000,N/A,N/A
"Tabarja, Kesrouane
                    , Mount Lebanon",5500000,Land,643,N/A,N/A
"Baabdat, El Metn
                    , Mount Lebanon",200000,Shop,140,3,3
"Tabarja, Kesrouane
                    , Mount Lebanon",13000000,Land,385,N/A,N/A
"Zikrit, El Metn
                    , Mount Lebanon",117000,Apartment,100,2,2
"Zikrit, El Metn
                    , Mount Lebanon",162000,Apartment,130,3,2
"Bolonia, El Metn
                    , Mount Lebanon",750000,Land,400,N/A,N/A
"Zaarour, El Metn
                    , Mount Lebanon",280000,Apartment,137,2,3
"Fanar, El Metn
                    , Mount Lebanon",500000,Apartment,300,3,5
"Mtayleb, El Metn
                    , Mount Lebanon",700000,Apartment,235,3,4
"Baabdat, El Metn
                    , Mount Lebanon",1300000,Apartment,100,10,8
"Achrafieh, Beirut
                    , Beirut",600000,Apartment,195,3,2
"Baabda, Baabda
                    , Mount Lebanon",1800000,Land,120,N/A,N/A
"Mansourieh, El Metn
                    , Mount Lebanon",175000,Apartment,100,2,2
"Achrafieh, Beirut
                    , Beirut",975000,Apartment,260,3,4
"Achrafieh, Beirut
                    , Beirut",530000,Apartment,170,2,3
"Achrafieh, Beirut
                    , Beirut",480000,Apartment,155,2,3
"Achrafieh, Beirut
                    , Beirut",320000,Apartment,75,1,1
"Fakra, Kesrouane
                    , Mount Lebanon",750000,Land,600,N/A,N/A
"Kfarzebian, Kesrouane
                    , Mount Lebanon",550000,Land,095,N/A,N/A
"Aamchit, Jbeil
                    , Mount Lebanon",280000,Apartment,240,3,3
"Antelias, El Metn
                    , Mount Lebanon",165000,Apartment,165,3,2
"Jal el Dib, El Metn
                    , Mount Lebanon",650000,Apartment,350,5,5
"Adma, Kesrouane
                    , Mount Lebanon",510000,Apartment,260,3,3
"Adma, Kesrouane
                    , Mount Lebanon",615000,Apartment,325,3,3
"Ras Beirut, Beirut
                    , Beirut",1550000,Apartment,420,3,4
"Sioufi, Beirut
                    , Beirut",935000,Apartment,300,3,4
"Zouk Mikael, Kesrouane
                    , Mount Lebanon",210000,Apartment,155,3,3
"Ras Beirut, Beirut
                    , Beirut",1500000,Apartment,400,4,3
"Beit Meri, El Metn
                    , Mount Lebanon",250000,Apartment,130,2,4
"Mazraat Yachouh, El Metn
                    , Mount Lebanon",450000,Shop,151,1,N/A
"Ain El Rihani, Kesrouane
                    , Mount Lebanon",270000,Land,077,N/A,N/A
"Ain El Rihani, Kesrouane
                    , Mount Lebanon",300000,Land,178,N/A,N/A
"Kfar Aabida, Batroun
                    , North",165000,Apartment,160,3,3
"Broumana, El Metn
                    , Mount Lebanon",220000,Apartment,190,3,3
"Baabdat, El Metn
                    , Mount Lebanon",149000,Apartment,140,3,2
"Baabda, Baabda
                    , Mount Lebanon",1600000,Land,297,N/A,N/A
"Gherfine, Jbeil
                    , Mount Lebanon",235000,Apartment,350,3,3
"Gherfine, Jbeil
                    , Mount Lebanon",117000,Apartment,130,3,3
"Gherfine, Jbeil
                    , Mount Lebanon",225000,Apartment,175,3,3
"Achrafieh, Beirut
                    , Beirut",500000,Apartment,300,3,2
"Jbeil, Jbeil
                    , Mount Lebanon",850000,House/Villa,750,4,6
"Sioufi, Beirut
                    , Beirut",900000,Apartment,270,3,4
"Chabtine, Batroun
                    , North",220000,Land,200,N/A,N/A
"Beit Chabeb, El Metn
                    , Mount Lebanon",350000,House/Villa,598,3,1
"Haret Sakher, Kesrouane
                    , Mount Lebanon",175000,Apartment,200,2,2
"Batroun, Batroun
                    , North",1600000,Land,833,N/A,N/A
"Batroun, Batroun
                    , North",50000,Land,696,N/A,N/A
"Adma, Kesrouane
                    , Mount Lebanon",2000000,House/Villa,600,4,5
"kfarhbeib, Kesrouane
                    , Mount Lebanon",775000,Apartment,492,4,3
"Chabtine, Batroun
                    , North",150000,Land,523,N/A,N/A
"Tabarja, Kesrouane
                    , Mount Lebanon",700000,Apartment,294,3,5
"Lehfed, Jbeil
                    , Mount Lebanon",310000,Land,650,N/A,N/A
"Aamchit, Jbeil
                    , Mount Lebanon",185000,Apartment,205,3,3
"Aamchit, Jbeil
                    , Mount Lebanon",185000,Apartment,190,3,3
"Aamchit, Jbeil
                    , Mount Lebanon",160000,Apartment,171,3,3
"Mechmech, Jbeil
                    , Mount Lebanon",40000,Land,650,N/A,N/A
"Faraya, Kesrouane
                    , Mount Lebanon",85000,Chalet,90,2,1
"Ras Beirut, Beirut
                    , Beirut",320000,Apartment,125,2,2
"Achrafieh, Beirut
                    , Beirut",1700000,Land,304,N/A,N/A
"Adonis, Kesrouane
                    , Mount Lebanon",250000,Apartment,230,4,4
"Sahel Alma, Kesrouane
                    , Mount Lebanon",450000,Apartment,355,3,5
"Antelias, El Metn
                    , Mount Lebanon",205000,Apartment,147,3,3
"Ras Beirut, Beirut
                    , Beirut",1000000,Apartment,307,3,4
"Kornet Chehwan, El Metn
                    , Mount Lebanon",410000,Apartment,240,3,3
"Kornet Chehwan, El Metn
                    , Mount Lebanon",360000,Apartment,230,3,4
"Kornet Chehwan, El Metn
                    , Mount Lebanon",480000,Apartment,330,4,4
"Rabieh, El Metn
                    , Mount Lebanon",780000,Land,016,N/A,N/A
"Nabey, El Metn
                    , Mount Lebanon",155000,Apartment,120,2,2
"Mechmech, Jbeil
                    , Mount Lebanon",600000,Land,000,N/A,N/A
"Mechmech, Jbeil
                    , Mount Lebanon",150000,Land,500,N/A,N/A
"Bsalim, El Metn
                    , Mount Lebanon",247000,Apartment,150,3,3
"Bsalim, El Metn
                    , Mount Lebanon",280000,Apartment,170,3,3
"Dbayeh, El Metn
                    , Mount Lebanon",320000,Office,85,1,N/A
"Jouret Al Ballout, El Metn
                    , Mount Lebanon",2190000,Land,457,N/A,N/A
"Roumie, El Metn
                    , Mount Lebanon",320000,Apartment,170,2,3
"Ras Beirut, Beirut
                    , Beirut",1550000,Shop,250,1,N/A
"Beit Meri, El Metn
                    , Mount Lebanon",265000,Apartment,225,3,4
"Aamchit, Jbeil
                    , Mount Lebanon",215000,Land,320,2,2
"Fanar, El Metn
                    , Mount Lebanon",175000,Warehouse,400,N/A,N/A
"Mansourieh, El Metn
                    , Mount Lebanon",350000,Apartment,350,4,6
"Aannaya, Jbeil
                    , Mount Lebanon",82000,Chalet,95,2,2
"Jounieh, Kesrouane
                    , Mount Lebanon",35000,Chalet,13,1,N/A
"Safra, Kesrouane
                    , Mount Lebanon",465000,Land,340,N/A,N/A
"Bhamdoun, Aley
                    , Mount Lebanon",300000,Land,000,N/A,N/A
"Batroun, Batroun
                    , North",190000,Apartment,145,2,3
"Aamchit, Jbeil
                    , Mount Lebanon",250000,Land,146,N/A,N/A
"Ras Beirut, Beirut
                    , Beirut",300000,Apartment,129,3,2
"Bsalim, El Metn
                    , Mount Lebanon",174000,Apartment,120,2,2
"Bsalim, El Metn
                    , Mount Lebanon",215000,Apartment,120,2,2
"Sarba, Kesrouane
                    , Mount Lebanon",250000,Apartment,200,3,3
"Mansourieh, El Metn
                    , Mount Lebanon",115000,Apartment,100,2,2
"Mansourieh, El Metn
                    , Mount Lebanon",450000,Office,585,2,N/A
"Ain Aar, El Metn
                    , Mount Lebanon",255000,Apartment,210,3,4
"Ain Aar, El Metn
                    , Mount Lebanon",130000,Apartment,105,2,2
"Ain Aar, El Metn
                    , Mount Lebanon",255000,Apartment,175,3,3
"Mazraat Yachouh, El Metn
                    , Mount Lebanon",860000,Land,715,N/A,N/A
"Achkout, Kesrouane
                    , Mount Lebanon",280000,Apartment,350,3,4
"Achkout, Kesrouane
                    , Mount Lebanon",175000,Apartment,230,3,4
"Achkout, Kesrouane
                    , Mount Lebanon",250000,Apartment,316,3,4
"Bouchrieh, El Metn
                    , Mount Lebanon",100000,Apartment,80,2,2
"Bouchrieh, El Metn
                    , Mount Lebanon",110000,Apartment,90,2,2
"Bouchrieh, El Metn
                    , Mount Lebanon",120000,Apartment,100,2,2
